CPT Code,Description
0539T,Receipt and preparation of blood-derived T white blood cells (T lymphocytes) for chimeric antigen receptor T-cell therapy
0540F,Glucorticoid Management Plan Documented (RA)
0540T,Administration of blood-derived T white blood cells (T lymphocytes) for chimeric antigen receptor T-cell therapy
0541T,"Imaging of heart muscle using magnetocardiography to detect deficient blood flow, single study"
0542T,Interpretation and report of imaging of heart muscle using magnetocardiography to detect deficient blood flow
0543T,"Repair of valve between upper left and lower left chambers of heart (mitral valve) with insertion of artificial supporting tendons, accessed through apex of heart"
0544T,"Reconstruction of junction between upper left and lower left chambers of heart (annulus of mitral valve) with implantation of adjustable reconstruction device, via catheter, accessed through skin"
0545F,"Plan for follow-up care for major depressive disorder, documented (MDD ADOL)"
0545T,"Reconstruction of junction between upper right and lower right chambers of heart (annulus of tricuspid valve) with implantation of adjustable reconstruction device, via catheter, accessed through skin"
0546T,"Radiofrequency spectroscopy evaluation of surgical margins during partial mastectomy, with report"
0547T,Bone material quality testing by microindentations of shin bone
0548T,"Insertion of balloon continence device on both sides of urethra, including examination of bladder using endoscope and fluoroscopic imaging"
0549T,"Insertion of balloon continence device on one side of urethra, including examination of bladder using endoscope and fluoroscopic imaging"
0550F,Cytopathology report on routine nongynecologic specimen finalized within two working days of accession date (PATH)
0550T,Removal of balloon continence device from beside urethra
0551F,Cytopathology report on nongynecologic specimen with documentation that the specimen was non-routine (PATH)
0551T,Adjustment of fluid volume in balloon continence device beside urethra
0552T,Low-level laser therapy
0553T,"Insertion of implant connecting groin artery and groin vein, with radiological supervision and interpretation and imaging guidance, via catheter, accessed through skin"
0554T,"Bone strength and fracture risk assessment: retrieval and transmission of CT scan data, assessment of bone strength and fracture risk and bone mineral density, interpretation and report"
0555F,Symptom management plan of care documented (HF)
0555T,Bone strength and fracture risk assessment: retrieval and transmission of CT scan data only
0556F,Plan of care to achieve lipid control documented (CAD)
0556T,Bone strength and fracture risk assessment: assessment of bone strength and fracture risk and bone mineral density
0557F,Plan of care to manage anginal symptoms documented (CAD)
0557T,Bone strength and fracture risk assessment: interpretation and report
0558T,CT scan for biomechanical computed tomography analysis
0559T,3-D printed anatomic model; first individually prepared and processed component of anatomic structure
0560T,3-D printed anatomic model; each additional individually prepared and processed component of anatomic structure
0561T,3-D printed anatomic guide; first guide
0562T,3-D printed anatomic guide; each additional guide
0563T,Evacuation of meibomian tear glands of eyelids of both eyes
0564T,Evaluation of toxicity of chemotherapy drugs on cancer stem cells
0565T,Harvesting of fatty tissue and creation of cellular implant for treatment of osteoarthritis
0566T,"Injection of fatty tissue cellular implant for treatment of osteoarthritis in knee, using ultrasound guidance"
0567T,Blockage of fallopian tubes with implants inserted through cervix
0568T,Introduction of saline and air into fallopian tubes to test for blockage
0569T,"Repair of valve between upper right and lower right chambers of heart (tricuspid valve) using prosthesis delivered via catheter, accessed through skin; initial prosthesis"
0570T,"Repair of valve between upper right and lower right chambers of heart (tricuspid valve) using prosthesis delivered via catheter, accessed through skin; each additional prosthesis"
0571T,Insertion or replacement of implantable cardioverter-defibrillator system with electrodes under breastbone
0572T,Insertion of implantable defibrillator electrode under breastbone
0573T,Removal of implantable defibrillator electrode from under breastbone
0574T,Repositioning of previously implanted defibrillator electrode under breastbone
0575F,"HIV RNA control plan of care, documented (HIV)"
0575T,"In-person programming device evaluation of implantable cardioverter-defibrillator system with electrode under breastbone, with analysis, review and report"
0576T,"In-person interrogation device evaluation of implantable cardioverter-defibrillator system with electrode under breastbone, with analysis, review and report"
0577T,"Electrophysiological evaluation of implantable cardioverter-defibrillator system with electrode under breastbone, with analysis, review and report"
0578T,"Remote interrogation device evaluation of implantable cardioverter-defibrillator system with lead under breastbone, with analysis, review and report by healthcare professional"
0579T,"Remote interrogation device evaluation of implantable cardioverter-defibrillator system with lead under breastbone, with remote data acquisitions, receipt of transmissions and technician review, technical support and distribution of results"
0580F,Multidisciplinary care plan developed or updated (ALS)
0580T,Removal of implantable defibrillator pulse generator from under breastbone
0581F,Patient transferred directly from anesthetizing location to critical care unit (Peri2)
0581T,"Freezing destruction of malignant breast tumors in one breast, accessed through skin"
0582F,Patient not transferred directly from anesthetizing location to critical care unit (Peri2)
0582T,"High-energy water vapor heat destruction of malignant prostate tissue, including imaging and needle guidance"
0583F,Transfer of care checklist used (Peri2)
0583T,Insertion of ventilating tube in eardrum using an automated tube delivery system under local anesthesia
0584F,Transfer of care checklist not used (Peri2)
0584T,"Transplantation of insulin-producing cells, via catheter accessed through skin using imaging guidance"
0585T,Transplantation of insulin-producing cells using endoscope inserted through wall of abdomen
0586T,"Transplantation of insulin-producing cells, open procedure"
0587T,"Implantation of nerve-stimulating device in posterior tibial nerve, accessed through skin"
0588T,Revision or removal of nerve-stimulating device in posterior tibial nerve
0589T,Electronic analysis with simple programming of nerve-stimulating device in posterior tibial nerve
0590T,Electronic analysis with complex programming of nerve-stimulating device in posterior tibial nerve
0591T,"Face-to-face health and well-being coaching of individual, initial assessment"
0592T,"Face-to-face health and well-being coaching of individual, follow-up session, at least 30 minutes"
0593T,"Face-to-face health and well-being coaching of group, at least 30 minutes"
0594T,Incision of upper arm bone and insertion of bone-lengthening device in marrow cavity
